"id","item_id","order","size","has_derivative_image","authentication","mime_type","type_os","filename","original_filename","modified","added","stored","metadata"
"85","85",NULL,"192922","1","d62269b85dae767335b52d7bd74a0578","application/pdf","PDF document, version 1.6","f305a8e53a87f39a7e32eff6040c5619.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_029.pdf","2017-12-29 19:36:55","2017-04-17 21:03:54","1","{""mime_type"":""application\/pdf""}"
"86","86",NULL,"84207","1","ca523a49d7119a086530aaffbd69325b","application/pdf","PDF document, version 1.6","01bca3fefc0b103742ed18cf11ea9143.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_030.pdf","2017-12-29 19:36:55","2017-04-17 21:03:56","1","{""mime_type"":""application\/pdf""}"
"87","87",NULL,"149373","1","2e2071d1022b3c1dd08ec8f84dd032c8","application/pdf","PDF document, version 1.6","e143ca75e6ab228767934892262123cc.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_031.pdf","2017-12-29 19:36:56","2017-04-17 21:03:57","1","{""mime_type"":""application\/pdf""}"
"88","88",NULL,"277983","1","1fb2a998bb3d5436924bb72377e2fecb","application/pdf","PDF document, version 1.6","254cdb3a0f45c033677990faf40d6d30.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_032.pdf","2017-12-29 19:36:56","2017-04-17 21:03:59","1","{""mime_type"":""application\/pdf""}"
"89","89",NULL,"146189","1","b428e9c036397404fc36437d59059572","application/pdf","PDF document, version 1.6","ee13760b56ccbf57dd40644b49872a5c.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_033.pdf","2017-12-29 19:36:56","2017-04-17 21:04:01","1","{""mime_type"":""application\/pdf""}"
"90","90",NULL,"268590","1","18354ac3b01939f2d186750de473c363","application/pdf","PDF document, version 1.6","3c2f895495e6cec7c43b076688b2552a.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_034.pdf","2017-12-29 19:36:56","2017-04-17 21:04:02","1","{""mime_type"":""application\/pdf""}"
"91","91",NULL,"145156","1","7de9d98e050f99173ca8eef4d1a4266a","application/pdf","PDF document, version 1.6","3ac401b326d2da2d7436f6910e4753d5.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_035.pdf","2017-12-29 19:36:57","2017-04-17 21:04:04","1","{""mime_type"":""application\/pdf""}"
"92","92",NULL,"120667","1","c2c54303e80795750490db1da3ef29e7","application/pdf","PDF document, version 1.6","225a86b5e5320294aef70f5cbbf846af.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_036.pdf","2017-12-29 19:36:57","2017-04-17 21:04:05","1","{""mime_type"":""application\/pdf""}"
"93","93",NULL,"147359","1","35253514e57bd1958535bc1cc9710a73","application/pdf","PDF document, version 1.6","ad5a8548ded84a73a02bad9ae45f2f99.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_037.pdf","2017-12-29 19:36:57","2017-04-17 21:04:06","1","{""mime_type"":""application\/pdf""}"
"94","94",NULL,"119672","1","8cbd7a29efbd64d35377eb906ea4e93c","application/pdf","PDF document, version 1.6","2d5c8d3944ea5feee48136a1418473ec.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_038.pdf","2017-12-29 19:36:57","2017-04-17 21:04:07","1","{""mime_type"":""application\/pdf""}"
"95","95",NULL,"403201","1","b324aff14c797fb0bf42c9f8e982fd19","application/pdf","PDF document, version 1.6","beed9517b9ad91460c44cf0f1a061939.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_039.pdf","2017-12-29 19:36:57","2017-04-17 21:04:09","1","{""mime_type"":""application\/pdf""}"
"96","96",NULL,"466213","1","f140c13bb5b7f5a2809b1dfb6f6029cf","application/pdf","PDF document, version 1.6","7164aaeadc3aa5cb399df21919313c7d.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_040.pdf","2017-12-29 19:36:58","2017-04-17 21:04:10","1","{""mime_type"":""application\/pdf""}"
"97","97",NULL,"133197","1","f8ffb7cd929e0c167d57d32aff9b500a","application/pdf","PDF document, version 1.6","3288cb360067d3d29291d3e8ed5c5d03.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_041.pdf","2017-12-29 19:36:58","2017-04-17 21:04:12","1","{""mime_type"":""application\/pdf""}"
"98","98",NULL,"201484","1","0555601c002d4e9d33d07bd2268b0a5d","application/pdf","PDF document, version 1.6","b3a918b628eb10ef7bd688d6b5c0e1dc.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_042.pdf","2017-12-29 19:36:58","2017-04-17 21:04:13","1","{""mime_type"":""application\/pdf""}"
"99","99",NULL,"836880","1","61b5e142ac5aae3ae7cf08727a16d2ba","application/pdf","PDF document, version 1.6","b4638add15aa3b5e772ee22c73b6287f.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_043.pdf","2017-12-29 19:36:58","2017-04-17 21:04:14","1","{""mime_type"":""application\/pdf""}"
"100","100",NULL,"901777","1","019a6d66d99405ef1b269eb54fed3a24","application/pdf","PDF document, version 1.6","dc9f1ccbf2b897363955c5d9b0fb66c5.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_044.pdf","2017-12-29 19:36:58","2017-04-17 21:04:16","1","{""mime_type"":""application\/pdf""}"
"101","101",NULL,"354889","1","ad30b0912211377dbb0ad400d53567fb","application/pdf","PDF document, version 1.6","003eab2c25b4a7a325c6c428f8374f6c.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_045.pdf","2017-12-29 19:36:59","2017-04-17 21:04:17","1","{""mime_type"":""application\/pdf""}"
"102","102",NULL,"142421","1","70c2ce8e6aca57bb763564372416743d","application/pdf","PDF document, version 1.6","a48d81d62721deefe2e9e3d16cc1bcd1.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_046.pdf","2017-12-29 19:36:59","2017-04-17 21:04:19","1","{""mime_type"":""application\/pdf""}"
"103","103",NULL,"200897","1","ea044a3effe0188f8e48b2130c4c71cc","application/pdf","PDF document, version 1.6","5bd7214af97dbd1dac5afb12f945540a.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_047.pdf","2017-12-29 19:36:59","2017-04-17 21:04:20","1","{""mime_type"":""application\/pdf""}"
"104","104",NULL,"286575","1","3af98bca3304a3cda57f0934e6ea0d5e","application/pdf","PDF document, version 1.6","52751fb388c2cd8a524b4ccf4d102d42.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_048.pdf","2017-12-29 19:36:59","2017-04-17 21:04:22","1","{""mime_type"":""application\/pdf""}"
"105","105",NULL,"78307","1","88bfb4ee5ddf6228a27894c4995213ed","application/pdf","PDF document, version 1.6","e56b5eaa53c0a90e3a3f499f9b0e9dea.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_049.pdf","2017-12-29 19:37:00","2017-04-17 21:04:23","1","{""mime_type"":""application\/pdf""}"
"106","106",NULL,"153684","1","420926bcddab279c6c502a479cb6f837","application/pdf","PDF document, version 1.6","7686b4c4fa2cc28c6e224e00a00f6342.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_050.pdf","2017-12-29 19:37:00","2017-04-17 21:04:24","1","{""mime_type"":""application\/pdf""}"
"107","107",NULL,"371822","1","1018c9f12df092d5091d187ebc99fc66","application/pdf","PDF document, version 1.6","573bbe434478b77d068107c3a8729981.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_051.pdf","2017-12-29 19:37:00","2017-04-17 21:04:25","1","{""mime_type"":""application\/pdf""}"
